Key,SourceString
DAILIES · SCENE 4 TAKE %d · pick up (E),DAILIES · SCENE 4 TAKE %d · pick up (E)
Hands full. One canister at a time.,Hands full. One canister at a time.
TAKE %d,TAKE %d
AUTHENTICATE. The premiere will go out clean. The club will weep in rows.,AUTHENTICATE. The premiere will go out clean. The club will weep in rows.
DESTROY. The degausser is warm already. Your hands know how to touch tape.,DESTROY. The degausser is warm already. Your hands know how to touch tape.
"PERFORM. Merle, in the doorway, says nothing. The pen was the loudest thing in the building.","PERFORM. Merle, in the doorway, says nothing. The pen was the loudest thing in the building."
ACCESSION LEDGER · entry stands: %s · the ink does not entertain appeals,ACCESSION LEDGER · entry stands: %s · the ink does not entertain appeals
ACCESSION LEDGER · three entries possible · the decision ripens Day 3,ACCESSION LEDGER · three entries possible · the decision ripens Day 3
ACCESSION LEDGER · take up the pen (E),ACCESSION LEDGER · take up the pen (E)
LEDGER · pen over: %s · E next · SPACE commit,LEDGER · pen over: %s · E next · SPACE commit
The entry stands. The ink does not entertain appeals.,The entry stands. The ink does not entertain appeals.
INK · the record now includes one name you added.,INK · the record now includes one name you added.
"Across the building, every monitor cuts to the patch bay. VESS, mid-sentence about slate clusters,","Across the building, every monitor cuts to the patch bay. VESS, mid-sentence about slate clusters,"
"holds one frame too long. Then bars. His plastic pin is fused into the panel enamel, still warm.","holds one frame too long. Then bars. His plastic pin is fused into the panel enamel, still warm."
"[BARS, ALL MONITORS]","[BARS, ALL MONITORS]"
"V1 · CREDITED, THEREFORE CAST","V1 · CREDITED, THEREFORE CAST"
cut mid-sentence; the record includes one name you added,cut mid-sentence; the record includes one name you added
THE DEGAUSSER · burn TAKE %d (E),THE DEGAUSSER · burn TAKE %d (E)
THE DEGAUSSER · humming · bring it a daily,THE DEGAUSSER · humming · bring it a daily
"It hums, felt-throated. It wants a canister.","It hums, felt-throated. It wants a canister."
UNIT %d · counted,UNIT %d · counted
UNIT %d · count (E),UNIT %d · count (E)
Your gloved hand rests on it. It is warm. You write the number down anyway.,Your gloved hand rests on it. It is warm. You write the number down anyway.
UNIT %d · fur gone gray in order.,UNIT %d · fur gone gray in order.
"Inventory complete: six units, one anomaly, zero incidents. The dock keeps its word.","Inventory complete: six units, one anomaly, zero incidents. The dock keeps its word."
INVENTORY CLIPBOARD · filed · the rows keep their order,INVENTORY CLIPBOARD · filed · the rows keep their order
INVENTORY CLIPBOARD · count the units (%d of %d),INVENTORY CLIPBOARD · count the units (%d of %d)
Filed. Six units. The dock keeps its word.,Filed. Six units. The dock keeps its word.
"Count them by hand. E on each unit. Rows two deep, years in order.","Count them by hand. E on each unit. Rows two deep, years in order."
%s · HELD FOR AIR · moves on the break,%s · HELD FOR AIR · moves on the break
HELD FOR AIR · the door moves during the break window.,HELD FOR AIR · the door moves during the break window.
The %s key turns. It was cut for this.,The %s key turns. It was cut for this.
RITA'S DRESSER · take stock (E),RITA'S DRESSER · take stock (E)
"Seven things, squared to the dresser's edge. Everything where you left it.","Seven things, squared to the dresser's edge. Everything where you left it."
%d of seven remain. Gone: %s. They will be in the footage.,%d of seven remain. Gone: %s. They will be in the footage.
YOU'RE ON,YOU'RE ON
WRAP IT UP,WRAP IT UP
THIRTY SECONDS,THIRTY SECONDS
ON TIME,ON TIME
"FILM CABINET · LOCKED · the key is tagged TRAINING, in green","FILM CABINET · LOCKED · the key is tagged TRAINING, in green"
FILM CABINET · run the orientation film again (E),FILM CABINET · run the orientation film again (E)
FILM CABINET · run the 1971 orientation film (E),FILM CABINET · run the 1971 orientation film (E)
"Locked. Somewhere, a key is tagged TRAINING in green ink.","Locked. Somewhere, a key is tagged TRAINING in green ink."
"WGLD STAFF ORIENTATION, 1971. A floor manager smiles at you across fifty years.","WGLD STAFF ORIENTATION, 1971. A floor manager smiles at you across fifty years."
SIGNAL · %s,SIGNAL · %s
Six signals. The film rattles out. It never mentions a seventh.,Six signals. The film rattles out. It never mentions a seventh.
"The film rattles out, patient as ever.","The film rattles out, patient as ever."
CART DECK BREAKER · restore (E),CART DECK BREAKER · restore (E)
RESTORED. The board hums agreement.,RESTORED. The board hums agreement.
DOCK · 1977 · watch it again (E),DOCK · 1977 · watch it again (E)
DOCK · 1977 · thread the fire tape (E),DOCK · 1977 · thread the fire tape (E)
"MERLE, from the doorway: 'I was there the first time. I'd rather not be alone for the second.'","MERLE, from the doorway: 'I was there the first time. I'd rather not be alone for the second.'"
E · let her stay for it · Q · turn her away,E · let her stay for it · Q · turn her away
She pulls a chair to the edge of the light and folds her hands. 'Well then.',She pulls a chair to the edge of the light and folds her hands. 'Well then.'
"She nods. 'That's kind, in its way.' The door closes softly behind her.","She nods. 'That's kind, in its way.' The door closes softly behind her."
1977. The studio is emptying.,1977. The studio is emptying.
"ON TAPE · CHUM: 'Stay in your seats, friends! The Gladhouse loves you! Say it with me: the Gladhouse loves'","ON TAPE · CHUM: 'Stay in your seats, friends! The Gladhouse loves you! Say it with me: the Gladhouse loves'"
The line never finishes. The camera pans across an empty floor. No one stands behind it.,The line never finishes. The camera pans across an empty floor. No one stands behind it.
"Transmission ends before any card, any song, any goodnight.","Transmission ends before any card, any song, any goodnight."
Something answers the tape from three rooms away. A weighted step. Another.,Something answers the tape from three rooms away. A weighted step. Another.
"Merle pats your hand once, warm, and says 'there, that wasn't so'","Merle pats your hand once, warm, and says 'there, that wasn't so'"
Her chair is empty. Her voice finishes the sentence from inside the speaker: 'bad.',Her chair is empty. Her voice finishes the sentence from inside the speaker: 'bad.'
"Warm to the last unfinished word. The kettle, two rooms away, clicks off by itself.","Warm to the last unfinished word. The kettle, two rooms away, clicks off by itself."
"[THE KETTLE, TWO ROOMS AWAY, CLICKS OFF]","[THE KETTLE, TWO ROOMS AWAY, CLICKS OFF]"
M1 · THE SECOND VIEWING,M1 · THE SECOND VIEWING
"carried a second time, mid-sentence","carried a second time, mid-sentence"
"REEL · 1977 · THE FINALE, UNFINISHED · take (E)","REEL · 1977 · THE FINALE, UNFINISHED · take (E)"
TAKEN · the fire tape. The bench has a dock for it now.,TAKEN · the fire tape. The bench has a dock for it now.
FLOOR MANAGER,FLOOR MANAGER
"You moved on camera. Somewhere, a take is ruled spoiled.","You moved on camera. Somewhere, a take is ruled spoiled."
The hand lowers. The take holds.,The hand lowers. The take holds.
YOU'RE ON. The point. Freeze: you are performance now.,YOU'RE ON. The point. Freeze: you are performance now.
THE FLOOR MANAGER · headphones connected to nothing,THE FLOOR MANAGER · headphones connected to nothing
The laminated run sheet is angled away from you. It was always going to be.,The laminated run sheet is angled away from you. It was always going to be.
THE LEDGER TAKES IT DOWN.,THE LEDGER TAKES IT DOWN.
"Signed. The hand on the slip is not yours, and the log accepts it anyway.","Signed. The hand on the slip is not yours, and the log accepts it anyway."
READ · filed to memory. (%d of 10 documents),READ · filed to memory. (%d of 10 documents)
CAPTURED · %s · presentation kept,CAPTURED · %s · presentation kept
You already carry %s.,You already carry %s.
TAKEN · %s,TAKEN · %s
CARRYING · SCENE 4 TAKE %d. The degausser is in the climate room.,CARRYING · SCENE 4 TAKE %d. The degausser is in the climate room.
BURNED · TAKE %d. Her name fades from the line. Its read on you resets.,BURNED · TAKE %d. Her name fades from the line. Its read on you resets.
BURNED · TAKE %d. The sheet was already clean. The canister burns anyway.,BURNED · TAKE %d. The sheet was already clean. The canister burns anyway.
LATE NIGHT,LATE NIGHT
ONE TAKE,ONE TAKE
MODE · %s,MODE · %s
ONE TAKE · any capture ends the run. (Prototype honors sheet rules until run flow exists.),ONE TAKE · any capture ends the run. (Prototype honors sheet rules until run flow exists.)
[min %.1f] %s,[min %.1f] %s
KEY IN USE · that key already answers to %s.,KEY IN USE · that key already answers to %s.
PHOTOSENSITIVITY-SAFE MODE · %s,PHOTOSENSITIVITY-SAFE MODE · %s
ON · bands and flicker suppressed,ON · bands and flicker suppressed
ASSET BANKED · %s (%d of 4),ASSET BANKED · %s (%d of 4)
"All four. The finale has everything it needs, when night falls.","All four. The finale has everything it needs, when night falls."
MORNING · Day %d · Tape %d. The building pretends nothing happened.,MORNING · Day %d · Tape %d. The building pretends nothing happened.
PROTOTYPE COMPLETE · the loop is proven. The rest is production.,PROTOTYPE COMPLETE · the loop is proven. The rest is production.
NIGHT · the building belongs to the schedule.,NIGHT · the building belongs to the schedule.
TAPE 1 · captured. Thank you for careful hands.,TAPE 1 · captured. Thank you for careful hands.
ENDING REACHED: %s · thank you for watching · NEW GAME threads a fresh reel,ENDING REACHED: %s · thank you for watching · NEW GAME threads a fresh reel
ENTRY STANDS: %s · sleep to begin the premiere,ENTRY STANDS: %s · sleep to begin the premiere
DAY %d · the ledger waits: AUTHENTICATE · DESTROY · PERFORM,DAY %d · the ledger waits: AUTHENTICATE · DESTROY · PERFORM
NIGHT · optional: burn your dailies (library to climate room) · sleep when ready,NIGHT · optional: burn your dailies (library to climate room) · sleep when ready
NIGHT · the schedule owns the halls · sleep when ready,NIGHT · the schedule owns the halls · sleep when ready
"DAY 1 · sign the log at S1, the library landing","DAY 1 · sign the log at S1, the library landing"
DAY 1 · run the mini-screening at the rec room projector,DAY 1 · run the mini-screening at the rec room projector
DAY 1 · capture Tape 1 at the bench · it runs real time,DAY 1 · capture Tape 1 at the bench · it runs real time
DAY 1 · end the day at Rita's bed,DAY 1 · end the day at Rita's bed
DAY %d · gather the four assets · the ledger ripens,DAY %d · gather the four assets · the ledger ripens
"DAY %d · the compound is yours: keys, signals, the sheet, the dark","DAY %d · the compound is yours: keys, signals, the sheet, the dark"
LOG MIGRATED · format v%d to v%d. Nothing was lost.,LOG MIGRATED · format v%d to v%d. Nothing was lost.
LOG FROM A NEWER BUILD · v%d read by v%d. Proceed gently.,LOG FROM A NEWER BUILD · v%d read by v%d. Proceed gently.
1ST DUB,1ST DUB
3RD GEN,3RD GEN
GEN KNOB · showing %s · cycle (E),GEN KNOB · showing %s · cycle (E)
GEN SET · the picture agrees to look %s. The scope still reads MASTER.,GEN SET · the picture agrees to look %s. The scope still reads MASTER.
The club unseals the fire corridor for the anniversary. Nobody goes first.,The club unseals the fire corridor for the anniversary. Nobody goes first.
"At the corridor's elbow, unmediated:","At the corridor's elbow, unmediated:"
"A puppeteer whose puppet is missing, or a puppet whose puppeteer is missing. The animation refused to resolve which.","A puppeteer whose puppet is missing, or a puppet whose puppeteer is missing. The animation refused to resolve which."
"The plastic sheeting breathes once, with the draft of something that has already passed.","The plastic sheeting breathes once, with the draft of something that has already passed."
And now. The tour continues.,And now. The tour continues.
'And now.','And now.'
'But first.','But first.'
'When we come back.','When we come back.'
HARRIET · mid-motion,HARRIET · mid-motion
HARRIET · in her chair (E),HARRIET · in her chair (E)
Two of her. Neither resumes. The schedule has stopped scheduling this chair.,Two of her. Neither resumes. The schedule has stopped scheduling this chair.
"You slide the slip from her fingers. They do not close on the absence. Nothing does, yet.","You slide the slip from her fingers. They do not close on the absence. Nothing does, yet."
She does not resume until the return cue. Her cup has been rising since Tape 1.,She does not resume until the return cue. Her cup has been rising since Tape 1.
"Her hand holds a signature slip. Paper, free, unmoving. (E again to take it)","Her hand holds a signature slip. Paper, free, unmoving. (E again to take it)"
"The break comes. Harriet freezes, and one frame later, freezes again, an inch to the left.","The break comes. Harriet freezes, and one frame later, freezes again, an inch to the left."
Doubled at the shoulders. Both mouths open on different vowels. The teacup rises in two hands at two heights.,Doubled at the shoulders. Both mouths open on different vowels. The teacup rises in two hands at two heights.
[ONE FRAME LEFT OF HERSELF],[ONE FRAME LEFT OF HERSELF]
H2 · THE SPLICE,H2 · THE SPLICE
doubled; the schedule stopped scheduling her,doubled; the schedule stopped scheduling her
"The break ends. Harriet's chair is warm. Harriet is not in it, or anywhere.","The break ends. Harriet's chair is warm. Harriet is not in it, or anywhere."
"The film cabinet will not fully close. Inside, folded small, with leader tape where her voice was.","The film cabinet will not fully close. Inside, folded small, with leader tape where her voice was."
"[A REEL, LABELED IN HER HAND: ME]","[A REEL, LABELED IN HER HAND: ME]"
H1 · CONTINUITY,H1 · CONTINUITY
edited for continuity; the slip signs in her hand,edited for continuity; the slip signs in her hand
HARRIET · %s,HARRIET · %s
A FOLDED NOTE · Harriet's hand · read (E),A FOLDED NOTE · Harriet's hand · read (E)
"'Hold your applause.' Both hands pressed down, twice. They added that one later. You'll want it.","'Hold your applause.' Both hands pressed down, twice. They added that one later. You'll want it."
INTERMISSION · WGLD holds its breath,INTERMISSION · WGLD holds its breath
THE BOOTH,THE BOOTH
RETURN TO TITLE · progress holds at your last signature,RETURN TO TITLE · progress holds at your last signature
"The room eats every sound you make. The radio, somehow, keeps its own.","The room eats every sound you make. The radio, somehow, keeps its own."
[NO ECHO],[NO ECHO]
● REC · SAFE WHILE LIT · %04.1f,● REC · SAFE WHILE LIT · %04.1f
THE BINDER · PRESENTATION FORM · TAB closes,THE BINDER · PRESENTATION FORM · TAB closes
MODE · press 1 / 2 / 3,MODE · press 1 / 2 / 3
"  1 MATINEE · unlimited paper, gentler sheet","  1 MATINEE · unlimited paper, gentler sheet"
"  2 LATE NIGHT · three lines per station, four sheet lines","  2 LATE NIGHT · three lines per station, four sheet lines"
  3 ONE TAKE · any capture is final,  3 ONE TAKE · any capture is final
  current: %s,  current: %s
TBC · %s · toggle with T anywhere,TBC · %s · toggle with T anywhere
CONTROLS · WASD move · E interact · SPACE respond · Q improvise,CONTROLS · WASD move · E interact · SPACE respond · Q improvise
THE BINDER · TAB closes,THE BINDER · TAB closes
MODE: LATE NIGHT · TBC: %s,MODE: LATE NIGHT · TBC: %s
SIGNATURES ON FILE: %d,SIGNATURES ON FILE: %d
CASUALTY LEDGER · %s,CASUALTY LEDGER · %s
NO ENTRIES. KEEP IT SO.,NO ENTRIES. KEEP IT SO.
  %s · %s · Day %d · %s,  %s · %s · Day %d · %s
CASTING SHEET: %d of 4 guest lines,CASTING SHEET: %d of 4 guest lines
PRODUCER TRACK: %d,PRODUCER TRACK: %d
KEYS: %s,KEYS: %s
DAILIES IN THE STACKS: %d · carrying: %s,DAILIES IN THE STACKS: %d · carrying: %s
COVERAGE READS YOU AS: %s (this session),COVERAGE READS YOU AS: %s (this session)
LELAND · wear %.0f%% · answers %d of 5,LELAND · wear %.0f%% · answers %d of 5
PHOTOSAFE: %s (P),PHOTOSAFE: %s (P)
VESS · %s,VESS · %s
credited in the margin,credited in the margin
"insight held, uncredited","insight held, uncredited"
his door is ajar,his door is ajar
SIGNALS KNOWN: %d%s,SIGNALS KNOWN: %d%s
  none yet. the bench is patient.,  none yet. the bench is patient.
◼ CAPTURED,◼ CAPTURED
THE GLADHOUSE,THE GLADHOUSE
SCENE 4 · TAKE %d,SCENE 4 · TAKE %d
◀◀ REWINDING,◀◀ REWINDING
ITEM MISSING,ITEM MISSING
your %s is gone from the dresser. it will be in the footage.,your %s is gone from the dresser. it will be in the footage.
THE SHEET IS FULL,THE SHEET IS FULL
the rewind would not stop. (prototype: the sheet resets.),the rewind would not stop. (prototype: the sheet resets.)
PRESENTATION KEPT,PRESENTATION KEPT
resume from your last signature.,resume from your last signature.
THE REWIND DOES NOT STOP,THE REWIND DOES NOT STOP
STARRING RITA IVORI,STARRING RITA IVORI
ENDING · ,ENDING · 
"THE LEDGER, READ ALOUD, because that is what ledgers are for:","THE LEDGER, READ ALOUD, because that is what ledgers are for:"
"HER CARD, HER OWN STAMP REGISTER:","HER CARD, HER OWN STAMP REGISTER:"
TRANSITION UNRESOLVED.,TRANSITION UNRESOLVED.
THE 58 CLUB:,THE 58 CLUB:
"fifty-eight, minus %d.","fifty-eight, minus %d."
THE RESPOND SIGN LIGHTS.,THE RESPOND SIGN LIGHTS.
Alone. Unasked.,Alone. Unasked.
TAPE 1 OF 5. THE PROGRAM CONTINUES.,TAPE 1 OF 5. THE PROGRAM CONTINUES.
"Your ledger, your signatures, and your paper carry into the full game. WISHLIST RESTORATION.","Your ledger, your signatures, and your paper carry into the full game. WISHLIST RESTORATION."
  ·  The 58 Club thanks you for careful hands. (any key),  ·  The 58 Club thanks you for careful hands. (any key)
You work through the night.,You work through the night.
Reel by reel. Entry by entry.,Reel by reel. Entry by entry.
Your hands know no other way to touch tape.,Your hands know no other way to touch tape.
No one comes to the doorway.,No one comes to the doorway.
You keep working because the alternative is the doorway.,You keep working because the alternative is the doorway.
"In the kitchen, later: cobbler, cold on the counter,","In the kitchen, later: cobbler, cold on the counter,"
plated for two.,plated for two.
"The ledger, weeks later, a new hand: M. OYELARAN, INCOMING CONSERVATOR. Beneath it, smaller: THE KITCHEN LIGHT WAS ON. NOBODY HAD EATEN.","The ledger, weeks later, a new hand: M. OYELARAN, INCOMING CONSERVATOR. Beneath it, smaller: THE KITCHEN LIGHT WAS ON. NOBODY HAD EATEN."
"MERLE, in the doorway.","MERLE, in the doorway."
"No anger anywhere on her, which is the worst available outcome.","No anger anywhere on her, which is the worst available outcome."
"'Oh, honey. We have copies.'","'Oh, honey. We have copies.'"
'Everyone has copies. That's what love is now.','Everyone has copies. That's what love is now.'
'There's cobbler.','There's cobbler.'
"The ledger, weeks later, a new hand: M. OYELARAN, INCOMING CONSERVATOR.","The ledger, weeks later, a new hand: M. OYELARAN, INCOMING CONSERVATOR."
3 · THE BURN,3 · THE BURN
The premiere goes out clean.,The premiere goes out clean.
"The club weeps with joy, in rows.","The club weeps with joy, in rows."
"In the office you inherit: a chair, still warm,","In the office you inherit: a chair, still warm,"
facing the monitor wall. You do not move it.,facing the monitor wall. You do not move it.
"At the first staff meeting: an empty headset on the table,","At the first staff meeting: an empty headset on the table,"
channel open. Nobody closes it.,channel open. Nobody closes it.
"In resolution the puppet was never built to survive,","In resolution the puppet was never built to survive,"
it leans to the lens.,it leans to the lens.
CHUM · 'There she is. Our new friend.',CHUM · 'There she is. Our new friend.'
"'Say it with me, everyone.'","'Say it with me, everyone.'"
'WELCOME HOME.','WELCOME HOME.'
No one says the welcome twice.,No one says the welcome twice.
"It is administered by the room itself, which is worse.","It is administered by the room itself, which is worse."
MERLE · 'Now Merle is just going to watch it again.',MERLE · 'Now Merle is just going to watch it again.'
2 · THE NEW PRODUCER,2 · THE NEW PRODUCER
Fifty years silent.,Fifty years silent.
"The bell rings once, three feet behind camera position.","The bell rings once, three feet behind camera position."
CAMERA ONE,CAMERA ONE
SPACE · deliver the line,SPACE · deliver the line
'That's our show. That was always our show.','That's our show. That was always our show.'
'There's no one at home anymore. The lights are off.','There's no one at home anymore. The lights are off.'
'The children grew up. You can stop looking for them.','The children grew up. You can stop looking for them.'
"'Say goodnight, Chum.'","'Say goodnight, Chum.'"
"On every screen at once, inside the frame he was cropped from,","On every screen at once, inside the frame he was cropped from,"
he steps to center and is allowed to be whole.,he steps to center and is allowed to be whole.
"LELAND · 'Goodnight, everyone.'","LELAND · 'Goodnight, everyone.'"
'It's okay. Nobody's watching.','It's okay. Nobody's watching.'
"CHUM, small, the performance finally allowed to end:","CHUM, small, the performance finally allowed to end:"
"'Goodnight, Gladhouse.'","'Goodnight, Gladhouse.'"
"The card. Then, for the first time in fifty years,","The card. Then, for the first time in fifty years,"
dark that is only dark.,dark that is only dark.
"Harriet's cup, rising since Tape 1,","Harriet's cup, rising since Tape 1,"
comes down.,comes down.
1A · SIGN-OFF,1A · SIGN-OFF
Someone must close the house from inside.,Someone must close the house from inside.
RITA · 'I'll close up.',RITA · 'I'll close up.'
"'Goodnight, everyone.'","'Goodnight, everyone.'"
"The ledger's last line is in green ink, not hers:","The ledger's last line is in green ink, not hers:"
SHE CLOSED IT PROPERLY. FILE UNDER: SAINTS.,SHE CLOSED IT PROPERLY. FILE UNDER: SAINTS.
"Beneath it, the same green ink, smaller:","Beneath it, the same green ink, smaller:"
FILE UNDER: STAFF.,FILE UNDER: STAFF.
"Beneath everything, in pencil, because the green ink is gone from the world:","Beneath everything, in pencil, because the green ink is gone from the world:"
"AND THE READER, UNFILED.","AND THE READER, UNFILED."
1B · SIGN-OFF,1B · SIGN-OFF
Every light in the building goes down in reverse order,Every light in the building goes down in reverse order
of the tour you walked on Day 1. Entry last.,of the tour you walked on Day 1. Entry last.
"From every speaker at once, a reading voice, patient:","From every speaker at once, a reading voice, patient:"
'There's no one at home anymore. The lights are off in the little house.','There's no one at home anymore. The lights are off in the little house.'
"Fifty years late, and exactly on time.","Fifty years late, and exactly on time."
"The transmitter unclenches. The tower light, for the first time,","The transmitter unclenches. The tower light, for the first time,"
"goes out, and it reads as rest.","goes out, and it reads as rest."
THE COMPLETED SIGN-OFF,THE COMPLETED SIGN-OFF
4c · THE COMPLETED SIGN-OFF,4c · THE COMPLETED SIGN-OFF
"The show runs whole. Every part, one performer.","The show runs whole. Every part, one performer."
The rows applaud on the mark you taught them by dying politely near it.,The rows applaud on the mark you taught them by dying politely near it.
"At sign-off, the card:","At sign-off, the card:"
STARRING RITA IVORI. And beneath it: AND RITA IVORI. AND RITA IVORI.,STARRING RITA IVORI. And beneath it: AND RITA IVORI. AND RITA IVORI.
"The ledger's last page is full,","The ledger's last page is full,"
and every line of it is a casting decision you made.,and every line of it is a casting decision you made.
0 · A ONE-WOMAN SHOW,0 · A ONE-WOMAN SHOW
You close the felt door from inside.,You close the felt door from inside.
Outside the format entirely.,Outside the format entirely.
"RITA, into the radio, to every set on every band:","RITA, into the radio, to every set on every band:"
"'This is WGLD, Channel fifty-eight, leaving the air.'","'This is WGLD, Channel fifty-eight, leaving the air.'"
'The show is over.','The show is over.'
'You can put the toys away.','You can put the toys away.'
The erase loop propagates outward like weather.,The erase loop propagates outward like weather.
"You watch the archive die, reel by reel,","You watch the archive die, reel by reel,"
"your hands folded, because there is nothing left for them to save.","your hands folded, because there is nothing left for them to save."
"Your right arm answers slowly now, and will from here on.","Your right arm answers slowly now, and will from here on."
"The ledger states it flatly, because that is how the ledger states things.","The ledger states it flatly, because that is how the ledger states things."
"FINAL LEDGER LINE, steady, left-handed:","FINAL LEDGER LINE, steady, left-handed:"
'Signed off.','Signed off.'
4b · DEAD AIR · HER HAND,4b · DEAD AIR · HER HAND
"In master control, after: the Floor Manager, headset still cued,","In master control, after: the Floor Manager, headset still cued,"
