row_name,room,room_code,state,state_scope,locked_ev,locked_ev_status,locked_ev_source,practical_id,fixture,family,on,position_uu,position_status,position_source,colour_linear,colour_status,colour_source,intensity,intensity_units,intensity_status,intensity_source,red_reads,red_source,transition,sequence,sequence_status,source,note
GLOBAL.BREAK.RULE-BR2,*,*,BREAK,GLOBAL,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,RULE-BR2,"corridor practicals lose one bulb per casualty, never replaced (the lighting bible's grief)",RULE,RULE,,OPEN,,,OPEN,,,,OPEN,,RULE,,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,restoration-reaction-matrix.md line 20 (QUEUE B-R2),"applies to CORRIDOR (see its CASUALTY_BR2 rows); whether other corridors (fire, control) grieve is OPEN"
GLOBAL.*.RULE-PREMIERE,*,*,*,GLOBAL,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,RULE-PREMIERE,"full tungsten stage wash in Studio A; the cascade's darkness is absence, never blue; restored circuits return light in the panel's order",RULE,RULE,,OPEN,,,OPEN,,,,OPEN,,RULE,,,,OPEN,restoration-art-bible.md §8,art bible §8 also says 'sodium exterior spill at the windows' at night — OPEN 0-D against the lighting bible's one-fixture sodium
REC.DAY_ON_AIR.P-REC-1,REC ROOM,REC,DAY_ON_AIR,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-REC-1,amber overheads (real ceiling fixtures; count OPEN),AMBER_TUNGSTEN,ON,,OPEN,"ROOM-BRIEFS-3.1-3.5.md 3.2.3 proposes three at (-250, 0, 290), (0, 0, 290), (250, 0, 290)",,OPEN,,,,OPEN,,NO,no tally in the room; CAM 1 monitor is phosphor data,"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES DAY, ON AIR; §UE5 TECHNICALS transitions CUT; restoration-lighting-bible.md §UE5 TECHNICALS 'REC amber overheads plus the kettle's glow'; restoration-room-bible.md REC ROOM 'Warm amber, the safest light in the game'",full practicals plus every tally lit; the safest the world ever looks; the brightest/warmest interior by doctrine; count and positions unruled
REC.DAY_ON_AIR.P-REC-2,REC ROOM,REC,DAY_ON_AIR,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-REC-2,shaded lamp over S5,AMBER_TUNGSTEN,ON,"-420,320,150",STAND-IN,"ROOM-BRIEFS-3.1-3.5.md 3.2.3 proposal; S5 marker at (-420, 320) is Data/Stations.csv",,OPEN,,,,OPEN,,NO,no tally in the room; CAM 1 monitor is phosphor data,"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES DAY, ON AIR; §UE5 TECHNICALS transitions CUT; restoration-room-bible.md REC ROOM 'S5 under a shaded lamp'; Data/Stations.csv S5 (-4.2, 0, 3.2)",full practicals plus every tally lit; the safest the world ever looks
REC.DAY_ON_AIR.S-REC-1,REC ROOM,REC,DAY_ON_AIR,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,S-REC-1,RESPOND cue sign (amber; dark until the show wants an answer),AMBER_CUE,OFF (dark until the show wants an answer),"-90,355,250",STAND-IN,"scripts/world_builder.gd 715 (Godot (-0.9, 2.5, 3.55))","0.89,0.64,0.24",STAND-IN,scripts/cue_sign.gd 45,2.4 lit / 3.8 flash peak / 0.0 dark,Godot light_energy (range 4.0),STAND-IN,"scripts/cue_sign.gd 46, 56-57, 62",NO,no tally in the room; CAM 1 monitor is phosphor data,"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES DAY, ON AIR; §UE5 TECHNICALS transitions CUT; restoration-game-master.md T1.7 'a cue sign wakes: RESPOND, in warm amber'; restoration-design-doc.md Cue-light signs; scripts/cue_sign.gd","full practicals plus every tally lit; the safest the world ever looks; amber, not red; lit during screenings; burns STEADY after the lockdown [restoration-game-master.md T4 line 235]"
REC.DAY_ON_AIR.S-REC-2,REC ROOM,REC,DAY_ON_AIR,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,S-REC-2,HOLD cue sign (amber),AMBER_CUE,OFF,"90,355,250",STAND-IN,"scripts/world_builder.gd 719 (Godot (0.9, 2.5, 3.55))","0.89,0.64,0.24",STAND-IN,scripts/cue_sign.gd 45,2.4 lit / 0.0 dark,Godot light_energy,STAND-IN,scripts/cue_sign.gd 62,NO,no tally in the room; CAM 1 monitor is phosphor data,"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES DAY, ON AIR; §UE5 TECHNICALS transitions CUT; restoration-design-doc.md Cue-light signs 'RESPOND and HOLD'; scripts/cue_sign.gd",full practicals plus every tally lit; the safest the world ever looks; as S-REC-1
REC.DAY_ON_AIR.D-REC-1,REC ROOM,REC,DAY_ON_AIR,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,D-REC-1,cabinet TV on the -X wall (4:3 static at night; the screening screen),PHOSPHOR,ON (data),"-478,100,160",STAND-IN,"scripts/world_builder.gd 722-725 (BenchTV rec_tv at Godot (-4.78, 1.6, 1.0))",,OPEN,,,,OPEN,,NO,no tally in the room; CAM 1 monitor is phosphor data,"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES DAY, ON AIR; §UE5 TECHNICALS transitions CUT; restoration-game-master.md T1.4 (the 4:3 static television); restoration-player-routing.md Night 1 spine; restoration-lighting-bible.md §GRAMMAR (phosphor illuminates data, never rooms)","full practicals plus every tally lit; the safest the world ever looks; M_Phosphor; tape-world content only, no grain on compound surfaces [restoration-art-bible.md §2]"
REC.DAY_ON_AIR.D-REC-2,REC ROOM,REC,DAY_ON_AIR,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,D-REC-2,CAM 1 · CORRIDOR wall monitor,PHOSPHOR,ON (data),"240,-382,170",STAND-IN,Data/Monitors.csv row 1,,OPEN,,,,OPEN,,NO,no tally in the room; CAM 1 monitor is phosphor data,"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES DAY, ON AIR; §UE5 TECHNICALS transitions CUT; Data/Monitors.csv row 1 (monitor_pos 2.4, 1.7, -3.82)","full practicals plus every tally lit; the safest the world ever looks; shows the corridor feed; data, not room light"
REC.DAY_ON_AIR.B-REC-1,REC ROOM,REC,DAY_ON_AIR,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,B-REC-1,borrowed: the kettle's glow through the +X gap,BORROWED,FOLLOWS SOURCE,,OPEN,,,OPEN,,,,OPEN,,NO,no tally in the room; CAM 1 monitor is phosphor data,"CUT with the schedule (ON AIR 50.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES DAY, ON AIR; §UE5 TECHNICALS transitions CUT; restoration-lighting-bible.md §UE5 TECHNICALS; Data/Doors.csv REC ROOM-KITCHEN gap (5.0, 0.0)",full practicals plus every tally lit; the safest the world ever looks
REC.BREAK.P-REC-1,REC ROOM,REC,BREAK,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-REC-1,amber overheads (real ceiling fixtures; count OPEN),AMBER_TUNGSTEN,ON,,OPEN,"ROOM-BRIEFS-3.1-3.5.md 3.2.3 proposes three at (-250, 0, 290), (0, 0, 290), (250, 0, 290)",,OPEN,,,,OPEN,,NO,Harriet's freeze is the visible cue in a tally-less room,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES BREAK; restoration-lighting-bible.md §UE5 TECHNICALS 'REC amber overheads plus the kettle's glow'; restoration-room-bible.md REC ROOM 'Warm amber, the safest light in the game'",the tallys die together; red drains from the world on the cue; BREAK IS VISIBLY LESS SAFE; Harriet freezes inside the colour change; the brightest/warmest interior by doctrine; count and positions unruled
REC.BREAK.P-REC-2,REC ROOM,REC,BREAK,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-REC-2,shaded lamp over S5,AMBER_TUNGSTEN,ON,"-420,320,150",STAND-IN,"ROOM-BRIEFS-3.1-3.5.md 3.2.3 proposal; S5 marker at (-420, 320) is Data/Stations.csv",,OPEN,,,,OPEN,,NO,Harriet's freeze is the visible cue in a tally-less room,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES BREAK; restoration-room-bible.md REC ROOM 'S5 under a shaded lamp'; Data/Stations.csv S5 (-4.2, 0, 3.2)",the tallys die together; red drains from the world on the cue; BREAK IS VISIBLY LESS SAFE; Harriet freezes inside the colour change
REC.BREAK.S-REC-1,REC ROOM,REC,BREAK,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,S-REC-1,RESPOND cue sign (amber; dark until the show wants an answer),AMBER_CUE,OFF,"-90,355,250",STAND-IN,"scripts/world_builder.gd 715 (Godot (-0.9, 2.5, 3.55))","0.89,0.64,0.24",STAND-IN,scripts/cue_sign.gd 45,2.4 lit / 3.8 flash peak / 0.0 dark,Godot light_energy (range 4.0),STAND-IN,"scripts/cue_sign.gd 46, 56-57, 62",NO,Harriet's freeze is the visible cue in a tally-less room,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES BREAK; restoration-game-master.md T1.7 'a cue sign wakes: RESPOND, in warm amber'; restoration-design-doc.md Cue-light signs; scripts/cue_sign.gd","the tallys die together; red drains from the world on the cue; BREAK IS VISIBLY LESS SAFE; Harriet freezes inside the colour change; amber, not red; lit during screenings; burns STEADY after the lockdown [restoration-game-master.md T4 line 235]"
REC.BREAK.S-REC-2,REC ROOM,REC,BREAK,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,S-REC-2,HOLD cue sign (amber),AMBER_CUE,OFF,"90,355,250",STAND-IN,"scripts/world_builder.gd 719 (Godot (0.9, 2.5, 3.55))","0.89,0.64,0.24",STAND-IN,scripts/cue_sign.gd 45,2.4 lit / 0.0 dark,Godot light_energy,STAND-IN,scripts/cue_sign.gd 62,NO,Harriet's freeze is the visible cue in a tally-less room,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,restoration-lighting-bible.md §STATES BREAK; restoration-design-doc.md Cue-light signs 'RESPOND and HOLD'; scripts/cue_sign.gd,the tallys die together; red drains from the world on the cue; BREAK IS VISIBLY LESS SAFE; Harriet freezes inside the colour change; as S-REC-1
REC.BREAK.D-REC-1,REC ROOM,REC,BREAK,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,D-REC-1,cabinet TV on the -X wall (4:3 static at night; the screening screen),PHOSPHOR,ON (data),"-478,100,160",STAND-IN,"scripts/world_builder.gd 722-725 (BenchTV rec_tv at Godot (-4.78, 1.6, 1.0))",,OPEN,,,,OPEN,,NO,Harriet's freeze is the visible cue in a tally-less room,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES BREAK; restoration-game-master.md T1.4 (the 4:3 static television); restoration-player-routing.md Night 1 spine; restoration-lighting-bible.md §GRAMMAR (phosphor illuminates data, never rooms)","the tallys die together; red drains from the world on the cue; BREAK IS VISIBLY LESS SAFE; Harriet freezes inside the colour change; M_Phosphor; tape-world content only, no grain on compound surfaces [restoration-art-bible.md §2]"
REC.BREAK.D-REC-2,REC ROOM,REC,BREAK,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,D-REC-2,CAM 1 · CORRIDOR wall monitor,PHOSPHOR,ON (data),"240,-382,170",STAND-IN,Data/Monitors.csv row 1,,OPEN,,,,OPEN,,NO,Harriet's freeze is the visible cue in a tally-less room,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES BREAK; Data/Monitors.csv row 1 (monitor_pos 2.4, 1.7, -3.82)","the tallys die together; red drains from the world on the cue; BREAK IS VISIBLY LESS SAFE; Harriet freezes inside the colour change; shows the corridor feed; data, not room light"
REC.BREAK.B-REC-1,REC ROOM,REC,BREAK,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,B-REC-1,borrowed: the kettle's glow through the +X gap,BORROWED,FOLLOWS SOURCE,,OPEN,,,OPEN,,,,OPEN,,NO,Harriet's freeze is the visible cue in a tally-less room,"CUT at the 50 s flip (BREAK 18.0 s, Data/Timings.csv broadcast.gd)",,OPEN,"restoration-lighting-bible.md §STATES BREAK; restoration-lighting-bible.md §UE5 TECHNICALS; Data/Doors.csv REC ROOM-KITCHEN gap (5.0, 0.0)",the tallys die together; red drains from the world on the cue; BREAK IS VISIBLY LESS SAFE; Harriet freezes inside the colour change
REC.NIGHT.P-REC-1,REC ROOM,REC,NIGHT,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-REC-1,amber overheads (real ceiling fixtures; count OPEN),AMBER_TUNGSTEN,OFF,,OPEN,"ROOM-BRIEFS-3.1-3.5.md 3.2.3 proposes three at (-250, 0, 290), (0, 0, 290), (250, 0, 290)",,OPEN,,,,OPEN,,NO,,CUT on the night flip (GameState.night_changed),,OPEN,"restoration-lighting-bible.md §STATES NIGHT; scripts/world_builder.gd 700-709 (reference flips on night_changed); restoration-lighting-bible.md §UE5 TECHNICALS 'REC amber overheads plus the kettle's glow'; restoration-room-bible.md REC ROOM 'Warm amber, the safest light in the game'","practicals off; exit signage, standby LEDs, phosphor spill, moonless windows; navigation by learned geography plus the grammar; the brightest/warmest interior by doctrine; count and positions unruled"
REC.NIGHT.P-REC-2,REC ROOM,REC,NIGHT,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,P-REC-2,shaded lamp over S5,AMBER_TUNGSTEN,OFF,"-420,320,150",STAND-IN,"ROOM-BRIEFS-3.1-3.5.md 3.2.3 proposal; S5 marker at (-420, 320) is Data/Stations.csv",,OPEN,,,,OPEN,,NO,,CUT on the night flip (GameState.night_changed),,OPEN,"restoration-lighting-bible.md §STATES NIGHT; scripts/world_builder.gd 700-709 (reference flips on night_changed); restoration-room-bible.md REC ROOM 'S5 under a shaded lamp'; Data/Stations.csv S5 (-4.2, 0, 3.2)","practicals off; exit signage, standby LEDs, phosphor spill, moonless windows; navigation by learned geography plus the grammar"
REC.NIGHT.S-REC-1,REC ROOM,REC,NIGHT,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,S-REC-1,RESPOND cue sign (amber; dark until the show wants an answer),AMBER_CUE,OFF,"-90,355,250",STAND-IN,"scripts/world_builder.gd 715 (Godot (-0.9, 2.5, 3.55))","0.89,0.64,0.24",STAND-IN,scripts/cue_sign.gd 45,2.4 lit / 3.8 flash peak / 0.0 dark,Godot light_energy (range 4.0),STAND-IN,"scripts/cue_sign.gd 46, 56-57, 62",NO,,CUT on the night flip (GameState.night_changed),,OPEN,"restoration-lighting-bible.md §STATES NIGHT; scripts/world_builder.gd 700-709 (reference flips on night_changed); restoration-game-master.md T1.7 'a cue sign wakes: RESPOND, in warm amber'; restoration-design-doc.md Cue-light signs; scripts/cue_sign.gd","practicals off; exit signage, standby LEDs, phosphor spill, moonless windows; navigation by learned geography plus the grammar; amber, not red; lit during screenings; burns STEADY after the lockdown [restoration-game-master.md T4 line 235]"
REC.NIGHT.S-REC-2,REC ROOM,REC,NIGHT,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,S-REC-2,HOLD cue sign (amber),AMBER_CUE,OFF,"90,355,250",STAND-IN,"scripts/world_builder.gd 719 (Godot (0.9, 2.5, 3.55))","0.89,0.64,0.24",STAND-IN,scripts/cue_sign.gd 45,2.4 lit / 0.0 dark,Godot light_energy,STAND-IN,scripts/cue_sign.gd 62,NO,,CUT on the night flip (GameState.night_changed),,OPEN,restoration-lighting-bible.md §STATES NIGHT; scripts/world_builder.gd 700-709 (reference flips on night_changed); restoration-design-doc.md Cue-light signs 'RESPOND and HOLD'; scripts/cue_sign.gd,"practicals off; exit signage, standby LEDs, phosphor spill, moonless windows; navigation by learned geography plus the grammar; as S-REC-1"
REC.NIGHT.D-REC-1,REC ROOM,REC,NIGHT,SCHEDULE,,OPEN,no EV value exists in canon [ROOM-BRIEFS-3.1-3.5.md §0.2 Numbers]; see GLOBAL.*.RULE-EXPOSURE,D-REC-1,cabinet TV on the -X wall (4:3 static at night; the screening screen),PHOSPHOR,ON (phosphor spill is a NIGHT source),"-478,100,160",STAND-IN,"scripts/world_builder.gd 722-725 (BenchTV rec_tv at Godot (-4.78, 1.6, 1.0))",,OPEN,,,,OPEN,,NO,,CUT on the night flip (GameState.night_changed),,OPEN,"restoration-lighting-bible.md §STATES NIGHT; scripts/world_builder.gd 700-709 (reference flips on night_changed); restoration-game-master.md T1.4 (the 4:3 static television); restoration-player-routing.md Night 1 spine; restoration-lighting-bible.md §GRAMMAR (phosphor illuminates data, never rooms)","practicals off; exit signage, standby LEDs, phosphor spill, moonless windows; navigation by learned geography plus the grammar; M_Phosphor; tape-world content only, no grain on compound surfaces [restoration-art-bible.md §2]"
