id,unit,room,prop,tier,class,interactable,gate_verb,text_key,dims_m,dims_src,placement_uu,source_candidate,licence,canon,notes_open
3.1-11,3.1,ENTRY,THE IMPOSSIBLE-TAPES CRATE (DELIVERY dock; T4.1 Vess backs in; then lives at the bench),INTERACTABLE,pickup · EVT,YES,T4 · EVT then BEN,GT 379 'A CRATE · Vess is hovering (E)',dock body 0.45 x 0.40 x 0.45 + plinth 0.55; RW tape shipping crate 0.5 x 0.4 x 0.4,REF / RW,"(0, 600, 50) [Godot (0.0, 0.5, 6.0)]",Bespoke wooden crate (Fab 'wooden crates' starter set for the shell); stencilled labels in albedo,Fab Standard / Bespoke,"RI s2 'Vess's delivery spot', RI GLOBAL; WB 1119-1122; GT 379; RB ENTRY web 'deliveries land here'",Event-gated second I in a 1-cap room: OPEN 3.1-D. rooms_also: BENCH ROOM
3.1-12,3.1,ENTRY,"Door leaves x2 (REC side, YARD side; exterior is industrial steel)",INTERACTABLE,door,YES,door verb (Doors.csv),"Doors.csv rows REC ROOM-ENTRY, ENTRY-YARD",gap 1.6; leaf 2.2 (REF) vs slab 2.6 (greybox) - OPEN 0-A,REF,"gaps at (0, 400) and (0, 1000)","Fab search 'wooden door old painted' (interior); 'steel door industrial' (exterior, game master T1.1)",Fab Standard,Doors.csv; WB 279 door_leaf 2.2; RBR 0.1; game master T1.1,"Doors count in the Doors table, not the room's I cap [RBR 3.1.4]"
3.1-13,3.1,ENTRY,Amber tungsten fixture over the door (the room's only authored pool; the rest borrowed),DRESSING,practical,NO,,none,fixture 0.25 dia; true bulb geometry,RW,over the door gap - which door is OPEN 3.1-B,Bespoke fixture with true bulb (M_Practical glass); Fab search 'wall light industrial vintage',Bespoke / Fab Standard,"RB ENTRY 'Amber over the door'; LB GRAMMAR, UE5 TECHNICALS",No EV/kelvin/candela in canon [RBR 0.2]
3.1-14,3.1,ENTRY,"Surfaces: floor 6 x 6, walls 4 x 6 x 3, ceiling",SURFACE,,NO,,none,36 m2 floor,REF (Rooms.csv),,"Megascans worn parquet / linoleum (MI_Entry_Floor); plaster painted aged (MI_Entry_Wall); acoustic tile (MI_Entry_Ceiling); CC0 alt AmbientCG WoodFloor051, PaintedPlaster017 (verify ids)",Fab Standard / CC0,Rooms.csv; FAB-IMPORT starter set; RBR 3.1.4,
3.2-01,3.2,REC ROOM,"THE PROJECTOR (16 mm, two reels; the club print)",INTERACTABLE,hero,YES,"EVT · operate (T1.7, T2.8, T4.5)",GT 588-589,"body 0.5 x 0.4 x 0.7 (REF); RW Bell & Howell 16 mm sound projector 0.43 x 0.24 x 0.37 + reel arms, reels 0.32-0.38 dia",REF / RW,"(-140, 100, 55) [Godot (-1.4, 0.55, 1.0)]","Bespoke from a CC0 donor (Poly Haven search 'projector', verify id) under M_Enamel painted steel; take-up reel animatable backward one rotation (T4.5)",CC0 / Bespoke,RI s3; WB 728-773; GT 588-589; RB REC; game master T1.7/T2.8/T4.5,"Hero by wear: worn carry handle, polished switch [RBR 3.2.6 P2]"
3.2-02,3.2,REC ROOM,"S5 LOG STATION (lectern, transmitter log binder, chained pen) under a shaded lamp",INTERACTABLE,station,YES,T1 · sign,GT 485-486,post 0.12 sq x 0.95; top 0.5 x 0.42 tilted 0.35 rad; binder 0.36 x 0.30; pen 0.11,REF,"(-420, 320, 0) [Godot (-4.2, 0.0, 3.2)]",Bespoke lectern shared across S1-S5 with per-station wear; paper M_Paper; chain in maps (<2 cm),Bespoke,Stations.csv S5; WB 283-304; prop_kit.gd lectern 347-361; RB REC keynote; RI s3,Second I of two
3.2-03,3.2,REC ROOM,"D04 THE CLIPPING, Chillicothe Courier October 1974, behind shrine glass",LORE-HANDLED,readable D04 · Day 1,YES,"T1 · read (mark_read, Three Reads)",GT 696 + 3 lines; WB 1153-1157,"newsprint 0.15 x 0.25, one fold; frame 0.25 x 0.35",RW,"(-420, -150, 115) [Godot (-4.2, 1.15, -1.5)]",M_Paper (4K allowed: readable); glass under M_Practical or plain,Bespoke,PP D04; RB REC 'corkboard with D04'; OT LORE handled; WB 1153,The room's one L (handled)
3.2-04,3.2,REC ROOM,"Cabinet television, 4:3 (the projector's screen; N1 static; lockdown sync; dark only in ending 1)",DRESSING,event-driven · phosphor,NO,RI s3: T1 · inspect · DYN (OPEN 3.2-A),none (slate 'THE GLADHOUSE · CLUB PRINT' WB 723),RW 1970s 25-inch console 0.95 x 0.55 x 0.75; REF screen centre at 1.6 m,RW / REF,"(-478, 100, 160) [Godot (-4.78, 1.6, 1.0)]",Fab search 'vintage television console 70s'; screen M_Phosphor; veneer Megascans,Fab Standard,RI s3; WB 722-727; game master T1.4; RBR 3.2.4,OPEN 3.2-C: reference screen height 1.6 m vs a floor console's ~1.0 m
3.2-05,3.2,REC ROOM,Cue signs RESPOND / HOLD (diegetic audience signs; lit only in response windows; never operable),DRESSING,event-lit practical,NO,EVT · read,none,0.6 x 0.2 x 0.1 each; amber gel face,RW,"(-90, 355, 250) [Godot (-0.9, 2.5, 3.55)]",Bespoke steel box + amber gel (M_Practical) + one true bulb each; gel matches the catwalk gel frame [RI s14],Bespoke,RI s3; WB 713-720; design doc Call-and-Response UI via RBR 3.2.2,"HOLD at Godot (0.9, 2.5, 3.55). Amber, never red [RBR 0.2]"
3.2-06,3.2,REC ROOM,"Five armchairs, mismatched (CASUAL until T4.10 lockdown, then ROWS facing the screen; never convert back)",DRESSING,DYN,NO,RI s3: T1 · use · DYN (OPEN 3.2-A),none,"seat 0.62 sq, back to 0.995 (REF club_chair); collision 0.66 x 0.95 x 0.66; RW 0.85 x 0.9 x 0.95",REF / RW,"CASUAL (60,20) (200,200) (-80,240) (320,40) (-220,20); ROWS (-150,60) (0,60) (150,60) (-75,180) (75,180) uu [rec_chairs.gd]",Poly Haven ArmChair_01 (verify id) x5 with the five rec_chairs.gd upholstery tints as MI variants; wear on arms/seat,CC0,RI s3; rec_chairs.gd; prop_kit.gd club_chair 216-241; audio bible S10 (no sound worth naming),
3.2-07,3.2,REC ROOM,Harriet's chair + teacup and saucer (the cup rises by the day; resolves only in ending 1),DRESSING,character seat · DYN,NO,"the character prompts, not the chair",GT 202 (HARRIET),"chair as armchair; cup 0.08 dia, saucer 0.14",RW,"(120, 260, 0) [Godot (1.2, 0.0, 2.6)]",Same armchair family; Poly Haven tea_set_01 (verify id) for cup/saucer,CC0,RI s3; WB 1082-1084; harriet.gd 70 (cup height); LAWS 6,"Cup Z = 0.99 + 0.05 x min(day, 6) m [harriet.gd 70 via RBR 3.2.2]"
3.2-08,3.2,REC ROOM,"Shrine wall / corkboard: ALDER, BELL, PRICE missing-persons clippings beside 'find our friend' articles; the gray flannel jacket photo",DRESSING,lore host (D04 sits here),NO,RI s3: T1 · inspect,none,corkboard 1.2 x 0.9; frames 0.2-0.4,RW,"-X wall centred (-498, -150, 150) proposed",Fab search 'cork board'; clippings M_Paper; enamel pins in maps,Fab Standard / Bespoke,RI s3; RB REC keynote 'the corkboard with D04'; lore architecture (deducible layer),
3.2-09,3.2,REC ROOM,Tournament bracket in three handwritings (drift: updates),DRESSING,drift · ambient host,NO,,none,poster 0.6 x 0.9,RW,"-Y wall (250, -398, 160) proposed",M_Paper plane; three hands in the albedo; re-authorable per day,Bespoke,RB REC keynote + drift,
3.2-10,3.2,REC ROOM,Bracket's fifth name inked out; the scoring beneath continues one more round anyway,LORE-AMBIENT,HC,NO,never prompts,none,on the bracket,RW,the bracket poster,albedo detail,Bespoke,LL REC [HC],
3.2-11,3.2,REC ROOM,"One photo frame faces the wallpaper; hanging wire dusty, nail not",LORE-AMBIENT,T5,NO,never prompts,none,frame 0.2 x 0.25,RW,"shrine wall near the frame cluster (-498, -60, 170) proposed",Poly Haven hanging_picture_frame_01 (verify id) turned; dust vs clean via roughness/normal maps,CC0,LL REC [T5],
3.2-12,3.2,REC ROOM,Corkboard's green pushpins hold only the oldest papers; nobody stocks green pins now,LORE-AMBIENT,"T3, HC",NO,never prompts,none,"pin 0.01 dia (maps, PLAN R.2)",RW,the corkboard around D04,pins in normal + albedo maps,Bespoke,"LL REC [T3, HC]",
3.2-13,3.2,REC ROOM,Doily archipelago (doilies migrate),DRESSING,drift,NO,,none,0.2-0.3 dia each,RW,"rack, TV top, side tables",alpha-masked cloth cards; lace in maps,Bespoke,RB REC keynote + drift 'doilies migrate',
3.2-14,3.2,REC ROOM,Doily'd equipment rack (domesticity over broadcast steel; standby LEDs at night),DRESSING,practical (standby LEDs),NO,RI s3: T1 · inspect,none,19-inch rack 0.6 x 0.6 x 1.2,RW,"+X/-Y corner (450, -300, 0) proposed",Fab search 'audio rack vintage' / 'server rack'; doilies as above,Fab Standard,RI s3; LB STATES NIGHT (standby LEDs),
3.2-15,3.2,REC ROOM,"Gladhouse licensed board game, 1975 box (rulebook's counting rhyme missing its fourth line)",DRESSING,lore host (RI-only),NO,RI s3: T1 · inspect (OPEN 3.2-A),none,box 0.5 x 0.27 x 0.05,RW,shelf under the rack,"Bespoke box under M_Paper (board art in albedo, show palette)",Bespoke,RI s3,Not in LL; RI-only lore. OPEN 3.2-F tier
3.2-16,3.2,REC ROOM,Photo albums (ASK-tier lore G3: the club's canon in snapshots),DRESSING,lore host (RI-only),NO,RI s3: T2 · inspect (OPEN 3.2-A),none,0.33 x 0.30 x 0.05 each,RW,shelf,Bespoke; covers M_Paper-adjacent cloth,Bespoke,RI s3,OPEN 3.2-F tier (handled lore outside the D-series?)
3.2-17,3.2,REC ROOM,Casserole whiteboard,DRESSING,,NO,,none,0.9 x 0.6,RW,"-Y wall (-200, -398, 160) proposed",Bespoke bevelled frame; marker text in albedo,Bespoke,game master T1.2 via RBR 3.2.2,
3.2-18,3.2,REC ROOM,Shaded lamp over S5 + three amber overhead fixtures (proposed count),DRESSING,practical,NO,,none,floor/table lamp 1.5 tall; overhead 0.3 dia,RW,"S5 lamp at (-420, 320, ~150); overheads (-250,0,290) (0,0,290) (250,0,290) proposed","Fab search 'floor lamp vintage', 'ceiling light vintage'; true bulbs under M_Practical",Fab Standard / Bespoke,RB REC 'S5 under a shaded lamp'; LB UE5 TECHNICALS 'REC amber overheads plus the kettle's glow',Fixture count OPEN; EV OPEN
3.2-19,3.2,REC ROOM,Wall clock (break-window repeater),DRESSING,event-driven,NO,RI GLOBAL: T2 · read,none,0.3 dia,RW,"(0, 0, 230) [Godot (0.0, 2.3, 0.0)]",Fab search 'wall clock vintage',Fab Standard,WB 538 wall_clocks; RI GLOBAL 'Break-window clocks',OPEN 3.2-D: reference sits at room centre; which wall
3.2-20,3.2,REC ROOM,CAM 1 · CORRIDOR monitor (the corridor feed's endpoint) on the -Y wall,INTERACTABLE,monitor · read,OPEN,RI GLOBAL: T2 · read · DYN,Monitors.csv 'CAM 1 · CORRIDOR',CRT 0.5 x 0.45 (REF crt_shell); RW 19-inch broadcast monitor 0.5 x 0.45 x 0.45,REF / RW,"(240, -382, 170) [Godot (2.4, 1.7, -3.82)]",prop_kit.gd crt_shell geometry as the modelling brief; screen M_Phosphor; Fab search 'crt monitor vintage',Bespoke / Fab Standard,Monitors.csv; WB 316-324; prop_kit.gd crt_shell 179-211; RI GLOBAL,"Placed by data, not by the room; counts toward no room cap in the port (OPEN 0-I)"
3.2-21,3.2,REC ROOM,VESS'S CUT dock (T4.5 the rejected edit; take-up reel turns backward one rotation),INTERACTABLE,dock · EVT,YES,T4 · EVT,"GT 549, 695",dock body 0.45 x 0.40 x 0.45,REF,"(-260, 100, 90) [Godot (-2.6, 0.9, 1.0)]","Bespoke: dock family (plinth, cased body, wood rim, brass plaque) per WB 929-972",Bespoke,WB 1126-1130; GT 549; game master T4.5,Event-window I beyond the 2 cap: OPEN 3.2-A
3.2-22,3.2,REC ROOM,A FOLDED NOTE · Harriet's hand (D06) - reference placement,LORE-HANDLED,readable D06 (home conflict),YES,read,GT 218,index card 0.125 x 0.075,RW,"(280, 220, 55) [Godot (2.8, 0.55, 2.2)]",M_Paper; pencil capitals,Bespoke,WB 899-915; PP D06 (film cabinet); RB GREEN ROOM ('D06's home'),"Three homes: REC (code), film cabinet (PP), GREEN ROOM (RB) - OPEN 3.8-C"
3.2-23,3.2,REC ROOM,"Surfaces: floor 10 x 8, walls, ceiling; wallpaper band",SURFACE,,NO,,none,80 m2 floor,REF (Rooms.csv),,Megascans office carpet short pile 70s (MI_RecRoom_Floor) over worn parquet margin; plaster + wallpaper vintage (MI_RecRoom_Wall; AmbientCG search 'Wallpaper' verify id); acoustic tile (MI_RecRoom_Ceiling),Fab Standard / CC0,Rooms.csv; FAB-IMPORT starter; AB s7 REC 'warmest neutrals',OPEN 3.2-E windows
3.3-01,3.3,KITCHEN,"KEY BOARD with the EDITH key (felt tag, child's hand) and the TRAINING key (green-ink tag)",INTERACTABLE,hero · pickups,YES,T2 · take,"GT 677 (KEY BOARD), 676 (EDITH), 678 (TRAINING)",board 0.3 x 0.25; keys 0.06-0.08 RW (REF key_prop ~0.3 long - OPEN 0-H),RW / REF,"(1060, -230, 120) [Godot (10.6, 1.2, -2.3)]","Bespoke pine board + brass hooks; keys from Poly Haven search 'key' (verify id) or bespoke; EDITH tag felt (M_Wool-family), TRAINING tag M_Paper green ink",Bespoke / CC0,WB 776-806; GT 676-678; RI s4; RB KITCHEN,"TRAINING key at Godot (10.2, 1.2, -2.3). PRESERVE keys for film cabinet and shed [RI s4]"
3.3-02,3.3,KITCHEN,"THE KETTLE (stovetop, steel; its glow is a real light; click-off is a death beat; stills forever if Merle dies)",DRESSING,practical + state object,NO,RI s4: T1 · inspect (OPEN 3.3-A),GT 141-142 (kettle click-off),body 0.2 dia x 0.14 + spout/handle ~0.25 tall (REF); RW stovetop kettle 0.2 dia x 0.25,REF / RW,"(940, -210, 91) [Godot (9.4, 0.91, -2.1)]",Poly Haven search 'kettle' (verify id) or bespoke; brushed steel with dents in the normal map; glow fixture per OPEN 3.3-B,CC0 / Bespoke,RB KITCHEN 'a real light'; prop_kit.gd kettle 540-569; WB 1272-1274; casualty ledger MERLE RIPPLES; RBR 3.3.4,"Never drifts. OPEN 3.3-B (stove element vs electric indicator), 3.3-C (night / after Merle)"
3.3-03,3.3,KITCHEN,"Counter run: base cabinets with knobbed doors, counter top, sink and tap, uppers",DRESSING,collision,NO,,none,"5.0 x 0.58 x 0.91 (top at 0.91); uppers 3.5 x 0.55 x 0.34 at 1.95; door faces 0.44 x 0.62, knob 0.036 dia",REF,"(800, -215, 0) [Godot (8.0, 0.0, -2.15)]",Fab search 'kitchen cabinet vintage' or bespoke per prop_kit kitchen_block; counter laminate AmbientCG search 'Laminate' / 'Terrazzo' (verify id),Fab Standard / CC0 / Bespoke,prop_kit.gd kitchen_block 574-603; WB 1268-1271,Counter top exactly Z 91 uu: Merle's hands land on it [RBR 3.3.6 P2]
3.3-04,3.3,KITCHEN,Break table on a single pedestal,DRESSING,,NO,,none,0.9 x 0.9 x 0.74,REF,"(960, 100, 74) [Godot (9.6, 0.74, 1.0)]",Poly Haven wooden_table_02 or coffee_table_round_01 (verify ids),CC0,WB 1288-1306,Reference is square on one pedestal
3.3-05,3.3,KITCHEN,Two mugs nobody collected (ochre),DRESSING,biography,NO,,none,0.08 dia x 0.09,REF,"(840, -220, 91) [Godot (8.4, 0.91, -2.2)]","Poly Haven tea_set_01 / search 'mug' (verify id); OCHRE tint (0.89, 0.64, 0.24) per prop_kit OCHRE",CC0,WB 1276-1287,"Second mug at Godot (8.62, 0.91, -2.05)"
3.3-06,3.3,KITCHEN,"Mug rail: six hooks, five mugs",DRESSING,ambient host,NO,,none,rail 0.6; mugs 0.08 dia,RW,"-Y wall above the counter (700, -248, 150) proposed",Bespoke rail + 5 mugs (tea_set_01 family),Bespoke / CC0,LL KITCHEN,
3.3-07,3.3,KITCHEN,The empty hook is the most polished of the six,LORE-AMBIENT,T3,NO,never prompts,none,hook 0.03,RW,the mug rail,roughness/metallic only (no albedo tell),Bespoke,LL KITCHEN [T3],
3.3-08,3.3,KITCHEN,"Recipe box (recipes become accessions if she goes, V-R3)",DRESSING,ambient host,NO,,none,0.15 x 0.12 x 0.10,RW,"counter (700, -215, 91) proposed",Bespoke tin/wood box; cards M_Paper,Bespoke,RB KITCHEN keynote + web V-R3,
3.3-09,3.3,KITCHEN,"Recipe card CHUM'S BIRTHDAY SHEET CAKE, SERVES 60, amended to SERVES 12, then to nothing",LORE-AMBIENT,"HC, T1",NO,never prompts,none,card 0.127 x 0.076 (5 x 3 in),RW,"front card of the recipe box, lid open",M_Paper; three hands in albedo,Bespoke,"LL KITCHEN [HC, T1]",
3.3-10,3.3,KITCHEN,"Cabinet door ajar with a volunteer feeding rotation taped inside, dated the week after the fire, all names crossed off but one",LORE-AMBIENT,"T5, HF",NO,never prompts,none,door 0.44 x 0.62; sheet 0.216 x 0.279,REF / RW,"one counter door e.g. (720, -186, 42) proposed, openable ajar",part of the counter run; sheet M_Paper,Bespoke,"LL KITCHEN [T5, HF]",
3.3-11,3.3,KITCHEN,Menu chalkboard (drift: the menu),DRESSING,drift,NO,,none,0.6 x 0.9,RW,"+Y wall (800, 248, 160) proposed","Fab search 'chalkboard'; chalk text in albedo, re-authorable per day",Fab Standard,RB KITCHEN keynote + drift,
3.3-12,3.3,KITCHEN,"Two aprons, one hook (Merle's is MUSTARD from Day 1 and never drifts)",DRESSING,,NO,,none,apron 0.6 x 0.9 hanging,RW,"+X wall (1098, -150, 170) proposed","Cloth cards, cotton under the M_Wool family; MUSTARD #C9A33D for hers",Bespoke,"RB KITCHEN keynote; AB s4 palette, s5 MERLE",
3.3-13,3.3,KITCHEN,Refrigerator with magnets and children's drawings (one signed T.A.); bed: refrigerator sigh,DRESSING,practical (standby LED),NO,RI s4: T1 · inspect,none,0.7 x 0.7 x 1.7,RW,"+X wall (1060, 180, 0) proposed",Fab search 'refrigerator vintage 70s'; drawings M_Paper,Fab Standard,RI s4; RB KITCHEN bed,T.A. is RI-only (never-stated ledger applies)
3.3-14,3.3,KITCHEN,"Plate rack + casserole dishes (the dried-past-dry plate, T2.5)",DRESSING,,NO,RI s4: T1 · inspect,none,rack 0.5 x 0.3; casserole 0.33 x 0.23 x 0.07; plate 0.26 dia,RW,"counter end (600, -215, 91) proposed",Fab search 'dish rack'; Poly Haven search 'plate' / 'casserole' (verify ids),Fab Standard / CC0,RI s4; game master T2.5,
3.3-15,3.3,KITCHEN,Coffee urn,DRESSING,,NO,RI s4: T1 · use (OPEN 3.3-A),none,0.25 dia x 0.45,RW,"counter (1000, -215, 91) proposed",Fab search 'coffee urn',Fab Standard,RI s4,
3.3-16,3.3,KITCHEN,"Kitchen circuit sub-panel (T3 COND: Merle unlocks it, with questions; FORCE = cut dorm heat)",INTERACTABLE,COND · not in the reference build,OPEN,RI s4: T3 · COND · operate,none,0.3 x 0.4 x 0.1,RW,"+X wall (1098, 60, 160) proposed",Megascans 'electrical panel' if free; breaker toggles M_Enamel; warning red on the breaker only [AB s4],Fab Standard,RI s4; game master 'Power shortfalls' table via RBR 3.3.2,Breaches the 1 cap and is routing-critical: OPEN 3.3-A
3.3-17,3.3,KITCHEN,"Framed TV listings, 'hallway' (airdate-math source two of four)",DRESSING,lore host (RI-only),NO,RI s4: T2 · inspect,none,0.3 x 0.4,RW,"no hallway exists in Rooms.csv; nearest honest home the kitchen's -X wall beside the gap (502, 150, 160)",Poly Haven hanging_picture_frame_01 (verify id); listings M_Paper,CC0,RI s4; player routing airdate circuit,OPEN 3.3-D
3.3-18,3.3,KITCHEN,Jars in an order (drift: jar order),DRESSING,drift,NO,,none,jars 0.1 dia x 0.15,RW,counter / uppers,Poly Haven search 'jar' (verify id); labels M_Paper,CC0,RB KITCHEN drift,
3.3-19,3.3,KITCHEN,"Second teacup on the rack (retires to the green room on M-R5, 'the saddest line of set dressing')",DRESSING,state (reaction web),NO,,none,cup 0.08 dia,RW,plate rack,tea_set_01 family,CC0,reaction matrix M-R5 via RBR 3.3.2; RB GREEN ROOM web,rooms_also: GREEN ROOM
3.3-20,3.3,KITCHEN,Tea towel (neutral Day 1 -> mustard Day 2: the first drifted prop),DRESSING,drift,NO,,none,0.5 x 0.7,RW,oven rail / counter,cloth card under M_Wool family; MUSTARD tint by day,Bespoke,AB s4 DRIFT LAW ('a mustard tea towel on Day 2'),
3.3-21,3.3,KITCHEN,Practicals: amber overhead + over-counter light + the kettle's glow,DRESSING,practical,NO,,none,true bulb geometry,RW,"P-K1 (800,0,290), P-K2 (800,-200,200), P-K3 at the kettle - proposed","Bespoke fixtures, M_Practical",Bespoke,RB KITCHEN; LB UE5 TECHNICALS; RBR 3.3.3,EV OPEN
3.3-22,3.3,KITCHEN,"Surfaces: floor 6 x 5, walls, tile splashback on -Y, ceiling",SURFACE,,NO,,none,30 m2 floor,REF (Rooms.csv),,Megascans linoleum/checker (MI_Kitchen_Floor); plaster (MI_Kitchen_Wall); ceramic tile (MI_Kitchen_Tile),Fab Standard,Rooms.csv; FAB-IMPORT starter,
3.4-01,3.4,DORMS,RITA'S BED (day/night driver; made every morning),INTERACTABLE,hero,YES,T1 · use,"GT 38-40, 184, 674",2.0 x 1.1 x 0.5 (frame 0.24 + mattress 0.2); headboard 0.7 high at -X; collision 2.0 x 0.6 x 1.1,REF,"(-900, 150, 30) [Godot (-9.0, 0.3, 1.5)]","Fab search 'single bed metal frame vintage' or Poly Haven search 'bed' (verify id); blanket tucked hard (cloth in maps), one pillow; tints blanket (0.42,0.34,0.26) pillow (0.8,0.77,0.7)",Fab Standard / CC0,WB 587-639; RI s5; GT 38-40,
3.4-02,3.4,DORMS,"RITA'S DRESSER with the seven items (watch, pen, photograph, lighter, compact, keys, loupe - one vanishes per capture, loupe last)",INTERACTABLE,DYN (the quietest horror meter),YES,T1 · inspect · DYN,"GT 111-112, 258","1.7 x 0.5 x 0.56 (REF; RW dresser ~0.85 high - OPEN 3.4-B); items: watch 0.035 dia, pen 0.14, photo 0.09 x 0.13, lighter 0.06 x 0.04, compact 0.07 dia, keys 0.06, loupe 0.03 dia",REF / RW,"(-1150, -180, 28) [Godot (-11.5, 0.28, -1.8)]","Poly Haven vintage_wooden_drawer_01 (verify id) or Fab search 'dresser vintage'; seven bespoke hero-small props, each removable by state",CC0 / Bespoke,WB 641-656; RI s5; walkthrough Part V-B line 183; GT 111-112,Second I in a 1-cap room: OPEN 3.4-A. Taken items reappear as props inside restored episodes
3.4-03,3.4,DORMS,D05 58 CLUB WELCOME PACKET (mimeograph purple; Merle's ballpoint),LORE-HANDLED,readable D05 · Day 1,YES,T1 · read,GT 700-703; WB 1158-1162,one page 0.216 x 0.279,RW,"(-1190, -100, 90) [Godot (-11.9, 0.9, -1.0)]",M_Paper 4K; purple mimeograph ink + ballpoint layer,Bespoke,PP D05; RB DORMS keynote 'D05 welcome folder'; WB 1158,Reference floats at Z 90 over a Z 56 top: sit it on the top [RBR 3.4.4]. OT calls the packet Rita carries 'D02' - see registry OPEN R-1
3.4-04,3.4,DORMS,"Vess's room (door ajar) with D07 VESS'S RESEARCH BINDER (FORCE path; one true insight, one confident error; the credit chain's object)",LORE-HANDLED,readable D07 · T2 · FORCE,YES,T2 · take (FORCE),GT 644; label 'VESS'S ROOM' (WB 1054),door 0.9 x 2.1 ajar 15 deg; binder 0.3 x 0.28 x 0.06 three-ring,RW,"(-650, 180, 60) [Godot (-6.5, 0.6, 1.8)]",Fab search 'ring binder'; printouts M_Paper in three pen colours; door Fab 'interior door wooden painted',Fab Standard / Bespoke,"PP D07; WB 1052-1055; RI s5; game master T2.1 [FORCE, G2]",RB PATCH BAY also lists 'D07 binder' as a keynote: OPEN 3.16-A
3.4-05,3.4,DORMS,"Spare label maker (his habit, documented)",DRESSING,biography,NO,RI s5: T2 · inspect,none,0.2 x 0.08 x 0.05 (Dymo),RW,beside the binder,Bespoke; label strips in maps,Bespoke,RI s5,
